R,G,B
8,8,104
8,12,96
8,8,104
8,8,104
16,12,112
16,12,112
16,12,112
16,12,120
16,12,120
16,12,120
16,12,128
16,16,128
16,16,136
16,16,136
16,12,152
16,16,152
16,16,160
16,16,160
16,16,168
16,16,168
16,16,176
16,20,176
16,20,184
16,20,184
16,24,192
16,24,192
16,20,208
16,24,208
24,24,216
24,24,216
24,24,224
24,28,224
24,24,232
24,28,232
24,28,232
32,28,232
32,32,232
32,32,240
32,28,248
32,28,248
24,36,248
24,36,248
32,36,248
32,40,248
32,36,248
32,40,248
32,36,248
32,36,248
32,40,248
32,40,248
32,40,248
32,40,248
32,44,248
32,40,248
40,40,248
40,44,248
40,44,248
32,44,248
32,44,248
32,44,248
32,44,248
32,44,248
40,44,248
40,44,248
32,44,248
32,44,248
32,44,248
32,44,248
32,40,248
32,40,248
32,40,248
32,40,248
32,40,248
24,36,248
40,36,248
40,36,248
32,36,248
32,36,248
32,32,248
32,32,248
32,36,240
32,36,240
32,32,240
24,32,240
32,28,240
32,32,240
24,32,232
32,36,232
40,32,224
40,36,232
40,36,224
32,32,224
40,36,216
40,32,216
40,32,208
40,32,208
40,32,208
40,32,208
32,36,192
40,36,200
40,36,200
40,32,200
40,36,184
32,32,184
32,28,176
32,28,176
24,32,168
32,28,160
24,28,160
24,28,160
24,24,152
24,20,144
24,20,136
24,20,136
24,20,128
24,16,128
16,16,120
16,16,120
16,16,104
16,16,104
8,16,96
16,16,104
16,12,96
16,12,96
16,12,88
16,12,96
16,8,88
16,12,88
16,12,88
16,12,88
8,8,88
8,12,88
8,12,88
8,12,80
8,12,72
8,8,64
8,12,72
8,12,72
0,12,72
8,12,72
8,8,80
0,4,80
0,4,80
8,8,80
8,8,80
8,8,80
8,4,88
8,8,88
8,8,88
8,8,88
8,8,80
8,4,80
8,8,88
8,8,88
8,8,88
8,8,88
8,8,88
8,12,88
8,8,96
8,8,96
8,8,104
8,8,112
8,8,112
16,8,112
8,8,112
8,12,112
8,12,112
8,12,112
8,12,128
8,12,128
16,12,136
16,12,136
24,16,144
16,16,144
16,16,160
16,16,160
16,16,168
16,16,168
16,16,168
24,20,176
16,20,176
16,20,184
16,16,192
16,20,200
16,20,200
16,24,200
24,24,208
24,24,208
24,24,216
24,24,216
24,24,224
24,28,224
24,28,232
32,28,232
32,28,240
32,28,240
32,32,240
32,32,240
40,32,240
40,36,248
32,36,248
32,36,248
32,36,248
32,36,248
40,40,248
40,40,248
32,40,248
32,40,248
32,44,248
32,44,248
32,44,248
32,44,248
32,44,248
40,44,248
40,44,248
40,44,248
40,48,248
40,48,248
40,48,248
40,48,248
40,52,248
40,48,248
40,48,248
40,48,248
40,44,248
40,44,248
40,44,248
40,44,248
40,44,248
40,44,248
32,44,248
32,44,248
32,44,248
32,44,248
32,40,248
32,40,248
32,40,248
40,40,248
40,36,248
40,40,248
32,36,248
32,36,248
32,36,248
32,32,248
32,32,240
32,32,240
32,36,232
32,36,232
40,36,232
40,36,232
40,36,224
40,36,224
40,36,216
40,36,216
40,36,216
40,36,216
40,32,208
40,32,208
40,36,200
40,36,200
40,36,200
40,32,200
32,36,184
40,32,184
32,32,176
32,28,176
32,28,176
32,28,176
32,28,160
32,28,160
24,24,152
24,24,152
24,20,136
24,20,136
16,20,128
16,20,128
16,16,120
16,16,120
16,16,112
16,16,112
16,12,104
8,12,104
16,12,96
16,12,96
16,12,96
16,12,96
16,8,88
16,8,88
16,8,80
16,8,80
8,8,80
8,8,80
8,8,80
8,8,80
8,12,72
8,8,72
8,12,72
8,8,72
8,8,72
8,8,72
8,8,80
8,8,80
8,8,80
8,8,80
8,8,80
0,8,88
8,8,88
8,8,88
8,4,80
8,8,80
8,4,80
8,8,80
0,8,80
8,8,80
8,8,88
8,8,88
8,8,96
8,8,96
8,8,104
8,8,104
8,8,112
8,8,112
8,8,112
8,12,112
8,8,120
16,12,120
8,12,120
8,12,120
8,12,128
8,12,128
8,12,144
16,12,144
16,16,144
16,16,152
16,16,160
16,16,160
16,16,168
16,16,168
24,16,176
24,16,176
24,20,184
24,20,184
24,20,192
24,20,200
24,24,208
24,24,208
24,24,216
24,24,216
24,24,216
24,24,224
24,24,224
32,24,224
32,32,232
32,32,232
32,32,240
32,32,240
32,36,240
32,36,248
32,36,248
32,36,248
32,36,248
32,36,248
40,40,248
40,36,248
40,40,248
40,40,248
32,40,248
32,40,248
32,44,248
32,44,248
32,44,248
32,48,248
40,44,248
40,44,248
40,48,248
40,48,248
40,48,248
40,48,248
32,52,248
40,52,248
40,52,248
40,52,248
40,48,248
32,48,248
40,44,248
